"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href","btn href","group src 2"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14296/thumb_2011_14296_14139_2556.png","01Talent Africa","Stand No- 14A-16, Hall 14","Portugal","01Talent Africa is both a Talent factory and a Talent Growth agency that aims to identify, train, and deploy 500,000 high-level AI-ready developers into the professional world by 2035. By integrating a proven educational model wit ...","Gaming","Education Tech","Cyber security","Coding and Development","Blockchain","Gaming","Artificial Intelligence","Operating Systems Development","Cloud Security","Artificial Intelligence & IOT","Read More","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/01talent-africa","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/01talent-africa","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14443/thumb_2011_14443_14286_8407.png","212 Founders by CDG Invest","Stand No- 9A-10, Hall 9","Morocco","212 Founders is an acceleration and investment program for startups with international potential and links to Morocco, Africa and the Middle East.

212 Founders’ ambition is to exercise a structuring impact on the entrepreneuria ...","Digital Finance","Incubator/Accelerator/Investment","Fund Raising and Investment","","","","","","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/212-founders-by-cdg-invest","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14297/thumb_2011_14297_14140_6313.png","3GCOM SARL","Stand No- 12C-61, Hall 12","Morocco","One of the leading global system integrator for IT & Telecom solutions in North Africa. We provide our customers with innovative end to end solutions and services across all major industries and collaborate with industry leading t ...","","","","","","","","","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/3gcom-sarl","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/15566/2011_15566_15392_1267.png","3labal.App","Stand No- 9D-23, Hall 9","Morocco","Since its creation in 2010, Khatwa Partners has supported several national programs intended for the structuring and modernization of small businesses. Over the years, KHATWA PARTNERS has developed expertise in the territorial dep ...","Incubator/Accelerator/Investment","","","","","","","","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/3labalapp","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/15276/thumb_2011_15276_15104_7942.png","3N Systèmes","Stand No- 2D-12, Hall 2","Morocco","IT Integrator: sale and maintenance of computer and network equipment (servers, storage, PC, printers, etc.) from the largest manufacturers (DELL, HP, Lenovo, Hitachi, Huawei, Cisco,Epson etc.), implementation of various solutions ...","Cyber security","Cloud Services","Big Data & Analytics","Artificial Intelligence","5G & Telecommunications","Data Centres","Chatbots / Virtual Assistant","Robotic Process Automation","Business Intelligence","Robotic Process Automation - RPA","Read More","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/3n-systmes","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/3n-systmes","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/15014/thumb_2011_15014_14845_5196.png","42Gears Mobility Systems","Stand No- 1A-12, Hall 1","India","42Gears is a leader in enterprise mobility management, offering cutting-edge solutions designed to transform the digital workplace. Delivered from the cloud and on-premise, 42Gears products support all major mobile and desktop ope ...","","","","","","","","","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/42gears-mobility-systems","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/15890/thumb_2011_15890_15716_2565.png","4Sight","Stand No- 4B-25, Hall 4","South Africa","4Sight is a JSE AltX (ticker: 4SI) listed, multi-national, diversified technology group. Its strategic vision is Digital AI Transformation for businesses, through seamlessly integrating the Operational Technologies (OT) and Inform ...","Cloud Services","Value Added Distributor - VAD or Value Added Reseller - VAR","","","","","","","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/4sight","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14688/thumb_2011_14688_14528_5333.png","75way Technologies Private Limited","Stand No- 2D-22, Hall 2","India","75way- Where Imagination Turns to Innovation

We cater to a wide spectrum of projects and meet the business requirement with highly intriguing Web 3.0/Blockchain, Web, IOT and Mobile apps development solutions.

At 75way, we ensur ...","Software Services","HealthTech","Ecommerce","Coding and Development","Blockchain","Smart Contracts","Web3 Applications","Backend Development","Blockchain","Devops","Read More","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/75way-technologies-private-limited","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/75way-technologies-private-limited","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14547/thumb_2011_14547_14390_8698.png","Aarya SoftEx LLP","Stand No- 8L-04, Hall 8","India","AARYA SOFTEX mission is to empower businesses with cutting-edge technology solutions, leveraging the power of AI and innovation to drive efficiency, growth, and positive impact, we are committed to delivering innovative, reliable, ...","Software Services","Ecommerce","Coding and Development","Blockchain","Artificial Intelligence","Chatbots / Virtual Assistant","Content Creation","Machine Learning","Planning and Optimization","Real time translation","Read More","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/aarya-softex-llp","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/aarya-softex-llp","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2011/14298/thumb_2011_14298_14141_5967.png","ABA Technology","Stand No- 14D-60A, 14D-60B, Hall 13","Morocco","Leading the charge with groundbreaking innovations, Aba Technology transform multiple sectors across the continent. From the development of smart cities to the deployment of connected medical units, their mission is to empower pro ...","Internet of Things (IOT)","Artificial Intelligence","Computer Vision","AI-optimized Hardware","Artificial Intelligence","Industrial IoT (IIoT) & Connectivity","IoT Solutions","Sensors, Smart lighting","","","","","https://exhibitors-dwtc.exhibitoronlinemanual.com/gitex-africa-2024/Exhibitor/ExbDetails/aba-technology","https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2011/GF-lgoo23.png"
