"PopupLeftSide src","SpeakersLeftInfo","popdesignation","popcompanyName","popcountry","Sepeaker_Bio","Sepeaker_Bio 2","Sepeaker_Bio 3","Sepeaker_Bio 4","Sepeaker_Bio 5"
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/HEGhitaMezzour0705.jpg","H.E Ghita Mezzour","Minister","Ministry of Digital Transition and Administration Reform","Morocco","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/KhaledAITTALEB0305.jpg","H.E Khalid Aït Taleb","Minister","Ministry of Health and Social Protection","Morocco","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/drTunjiAlausa0305.jpg","H.E Dr. Tunji Alausa","State Minister","Ministry of Health & Social Welfare","Nigeria","Dr.
Tunji Alausa, Nigerian Minister of State for Health and Social Welfare, aims to
upgrade Nigeria's healthcare to global standards, emphasizing Universal Health
Coverage. With over 30 years of experience, he's a U.S. board-certified
Nephrologist, known for pioneering Value-Based Care. Alausa founded successful
healthcare centers in the U.S., focusing on kidney disease and hypertension.
He's authored policy documents and medical papers, contributing significantly
to medical research. Educated in Nigeria, the UK, and the U.S., he's been
recognized with numerous awards for his medical contributions and philanthropy,
including facilitating significant medical equipment donations to Lagos State.","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/SidiMohammedDRISSIMELYANI0305.jpg","Sidi Mohammed Drissi Melyani","Director-General","ADD","Morocco","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/savannah.jpg","Hon. Savannah Maziya","Minister","Ministry of Information, Communication and Technologies","Kingdom of Eswatini","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/aurelie.jpg","H.E. Aurélie Adam Soulé","Minister","Ministry of Digital Economy and Communication","Benin","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/desire.jpg","H.E Désiré-Cashmir Eberande Kolongele","Minister","Ministry of Digital Affairs","Democratic Republic of Congo (DRC)","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/moses.jpg","H.E Moses Kunkuyu","Minister","Ministry of Information and Digitization","Malawi","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/Hamad-Obaid-Al-Mansoori.jpg","H.E Hamad Obaid Al Mansoori","Director General","Digital Dubai","UAE","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/dr-kuwaiti-1.jpg","H.E Dr. Mohamed Al Kuwaiti","Head","UAE Cybersecurity Council","UAE","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/monica-1.jpg","Hon. Monica Musenero Masanza","Minister of Science, Technology, and Innovation","Government of Uganda","Uganda","","","","",""
